Time(s),Force(N)
338.8,8.993598938
338.84000000000003,8.9614059448
338.88,8.9292129516
338.92,8.8970199584
338.96,8.8648269652
339.0,8.832633972
339.04,8.856651306
339.08,8.88066864
339.12,8.904685974
339.16,8.928703308
339.2,8.952720642
339.24,9.0347358703
339.28000000000003,9.1167510986
339.32,9.1987663269
339.36,9.2807815552
339.40000000000003,9.3627967835
339.44,9.4448120118
339.48,9.5268272401
339.52,9.6088424684
339.56,9.6908576967
339.6,9.772872925
339.64,9.843902588
339.68,9.914932251
339.72,9.985961914
339.76,10.056991577
339.8,10.12802124
339.84000000000003,10.23124237
339.88,10.3344635
339.92,10.43768463
339.96,10.54090576
340.0,10.64412689
340.04,10.717201232
340.08,10.790275574
340.12,10.863349916
340.16,10.936424258
340.2,11.0094986
340.24,11.010520176
340.28000000000003,11.011541752
340.32,11.012563328
340.36,11.013584904
340.40000000000003,11.01460648
340.44,11.015628056
340.48,11.016649632
340.52,11.017671208
340.56,11.018692784
340.6,11.01971436
340.64,10.97678986
340.68,10.93386536
340.72,10.89094086
340.76,10.84801636
340.8,10.80509186
340.84000000000003,10.74019623
340.88,10.6753006
340.92,10.61040497
340.96,10.54550934
341.0,10.48061371
341.04,10.410095216
341.08,10.339576722
341.12,10.269058228
341.16,10.198539734
341.2,10.12802124
341.24,10.0787094114
341.28000000000003,10.0293975828
341.32,9.9800857542
341.36,9.9307739256
341.40000000000003,9.881462097
341.44,9.8321502684
341.48,9.7828384398
341.52,9.7335266112
341.56,9.6842147826
341.6,9.634902954
341.64,9.5945343016
341.68,9.5541656492
341.72,9.5137969968
341.76,9.4734283444
341.8,9.433059692
341.84000000000003,9.3957565304
341.88,9.3584533688
341.92,9.3211502072
341.96,9.2838470456
342.0,9.246543884
342.04,9.1934005736
342.08,9.1402572632
342.12,9.0871139528
342.16,9.0339706424
342.2,8.980827332
342.24,8.9805717472
342.28000000000003,8.980316162400001
342.32,8.9800605776
342.36,8.9798049928
342.40000000000003,8.979549408
342.44,8.9792938232
342.48,8.979038238400001
342.52,8.9787826536
342.56,8.9785270688
342.6,8.978271484
342.64,8.9920684812
342.68,9.0058654784
342.72,9.0196624756
342.76,9.0334594728
342.8,9.04725647
342.84000000000003,9.0314147952
342.88,9.0155731204
342.92,8.9997314456
342.96,8.983889770800001
343.0,8.968048096
343.04,8.9869552614
343.08,9.0058624268
343.12,9.0247695922
343.16,9.0436767576
343.2,9.062583923
343.24,9.1315689084
343.28000000000003,9.2005538938
343.32,9.2695388792
343.36,9.3385238646
343.40000000000003,9.40750885
343.44,9.4764938354
343.48,9.5454788208
343.52,9.6144638062
343.56,9.6834487916
343.6,9.752433777
343.64,9.8265289316
343.68,9.9006240862
343.72,9.9747192408
343.76,10.0488143954
343.8,10.12290955
343.84000000000003,10.232263186
343.88,10.341616822
343.92,10.450970458
343.96,10.560324094
344.0,10.66967773
344.04,10.758081052
344.08,10.846484374
344.12,10.934887696
344.16,11.023291018
344.2,11.11169434
344.24,11.118848423
344.28000000000003,11.126002506
344.32,11.133156589
344.36,11.140310672
344.40000000000003,11.147464755
344.44,11.154618838
344.48,11.161772921
344.52,11.168927004
344.56,11.176081087
344.6,11.18323517
344.64,11.13366852
344.68,11.08410187
344.72,11.03453522
344.76,10.98496857
344.8,10.93540192
344.84000000000003,10.8853241
344.88,10.83524628
344.92,10.78516846
344.96,10.73509064
345.0,10.68501282
345.04,10.627780154
345.08,10.570547488
345.12,10.513314822
345.16,10.456082156
345.2,10.39884949
345.24,10.3446838403
345.28000000000003,10.2905181906
345.32,10.2363525409
345.36,10.1821868912
345.40000000000003,10.1280212415
345.44,10.0738555918
345.48,10.0196899421
345.52,9.9655242924
345.56,9.9113586427
345.6,9.857192993
345.64,9.7917846678
345.68,9.7263763426
345.72,9.6609680174
345.76,9.5955596922
345.8,9.530151367
345.84000000000003,9.4606552122
345.88,9.3911590574
345.92,9.3216629026
345.96,9.2521667478
346.0,9.182670593
346.04,9.1412796018
346.08,9.0998886106
346.12,9.0584976194
346.16,9.0171066282
346.2,8.975715637
346.24,8.9685615538
346.28000000000003,8.961407470600001
346.32,8.9542533874
346.36,8.9470993042
346.40000000000003,8.939945221
346.44,8.9327911378
346.48,8.925637054600001
346.52,8.9184829714
346.56,8.9113288882
346.6,8.904174805
346.64,8.8908889774
346.68,8.8776031498
346.72,8.8643173222
346.76,8.8510314946
346.8,8.837745667
346.84000000000003,8.8474548344
346.88,8.857164001800001
346.92,8.8668731692
346.96,8.8765823366
347.0,8.886291504
347.04,8.904687500000001
347.08,8.923083496
347.12,8.941479492000001
347.16,8.959875488
347.2,8.978271484
347.24,9.0268165585
347.28000000000003,9.075361633
347.32,9.1239067075
347.36,9.172451782
347.40000000000003,9.2209968565
347.44,9.269541931
347.48,9.3180870055
347.52,9.36663208
347.56,9.4151771545
347.6,9.463722229
347.64,9.5822738652
347.68,9.7008255014
347.72,9.8193771376
347.76,9.9379287738
347.8,10.05648041
347.84000000000003,10.160723878
347.88,10.264967346
347.92,10.369210814
347.96,10.473454282
348.0,10.57769775
348.04,10.651281736
348.08,10.724865722
348.12,10.798449708
348.16,10.872033694
348.2,10.94561768
348.24,10.953282932
348.28000000000003,10.960948184
348.32,10.968613436
348.36,10.976278688
348.40000000000003,10.98394394
348.44,10.991609192
348.48,10.999274444
348.52,11.006939696
348.56,11.014604948
348.6,11.0222702
348.64,10.917515562
348.68,10.812760924
348.72,10.708006286
348.76,10.603251648
348.8,10.49849701
348.84000000000003,10.3676803594
348.88,10.2368637088
348.92,10.1060470582
348.96,9.9752304076
349.0,9.844413757
349.04,9.8209075926
349.08,9.7974014282
349.12,9.7738952638
349.16,9.7503890994
349.2,9.726882935
349.24,9.7381248478
349.28000000000003,9.7493667606
349.32,9.7606086734
349.36,9.7718505862
349.40000000000003,9.783092499
349.44,9.7943344118
349.48,9.8055763246
349.52,9.8168182374
349.56,9.8280601502
349.6,9.839302063
349.64,9.7866699218
349.68,9.7340377806
349.72,9.6814056394
349.76,9.6287734982
349.8,9.576141357
349.84000000000003,9.500512695
349.88,9.424884033
349.92,9.349255371
349.96,9.273626709
350.0,9.197998047
350.04,9.2046417238
350.08,9.2112854006
350.12,9.2179290774
350.16,9.2245727542
350.2,9.231216431
350.24,9.2299385074
350.28000000000003,9.2286605838
350.32,9.2273826602
350.36,9.2261047366
350.40000000000003,9.224826813
350.44,9.2235488894
350.48,9.2222709658
350.52,9.2209930422
350.56,9.2197151186
350.6,9.218437195
350.64,9.236833191
350.68,9.255229187
350.72,9.273625183
350.76,9.292021179
350.8,9.310417175
350.84000000000003,9.3007095334
350.88,9.2910018918
350.92,9.2812942502
350.96,9.2715866086
351.0,9.261878967
351.04,9.2695434568
351.08,9.2772079466
351.12,9.2848724364
351.16,9.2925369262
351.2,9.300201416
351.24,9.4793067934
351.28000000000003,9.6584121708
351.32,9.8375175482
351.36,10.0166229256
351.40000000000003,10.195728303
351.44,10.3748336804
351.48,10.5539390578
351.52,10.7330444352
351.56,10.9121498126
351.6,11.09125519
351.64,11.2256485
351.68,11.36004181
351.72,11.49443512
351.76,11.62882843
351.8,11.76322174
351.84000000000003,11.946670532
351.88,12.130119324
351.92,12.313568116
351.96,12.497016908
352.0,12.6804657
352.04,12.831721498
352.08,12.982977296
352.12,13.134233094
352.16,13.285488892
352.2,13.43674469
352.24,13.462805939
352.28000000000003,13.488867188
352.32,13.514928437
352.36,13.540989686
352.40000000000003,13.567050935
352.44,13.593112184
352.48,13.619173432999998
352.52,13.645234682
352.56,13.671295931
352.6,13.69735718
352.64,13.60486603
352.68,13.51237488
352.72,13.41988373
352.76,13.32739258
352.8,13.23490143
352.84000000000003,13.162850954
352.88,13.090800478
352.92,13.018750002
352.96,12.946699526
353.0,12.87464905
353.04,12.73974457
353.08,12.60484009
353.12,12.46993561
353.16,12.33503113
353.2,12.20012665
353.24,12.082085421
353.28000000000003,11.964044192
353.32,11.846002963
353.36,11.727961734
353.40000000000003,11.609920505
353.44,11.491879276
353.48,11.373838047
353.52,11.255796818
353.56,11.137755589
353.6,11.01971436
353.64,10.947152714
353.68,10.874591068
353.72,10.802029422
353.76,10.729467776
353.8,10.65690613
353.84000000000003,10.583322146
353.88,10.509738162
353.92,10.436154178
353.96,10.362570194
354.0,10.28898621
354.04,10.1954727204
354.08,10.1019592308
354.12,10.0084457412
354.16,9.9149322516
354.2,9.821418762
354.24,9.7741516111
354.28000000000003,9.7268844602
354.32,9.6796173093
354.36,9.6323501584
354.40000000000003,9.5850830075
354.44,9.5378158566
354.48,9.4905487057
354.52,9.4432815548
354.56,9.3960144039
354.6,9.348747253
354.64,9.320642089600002
354.68,9.2925369262
354.72,9.2644317628
354.76,9.2363265994
354.8,9.208221436
354.84000000000003,9.1617202762
354.88,9.1152191164
354.92,9.0687179566
354.96,9.0222167968
355.0,8.975715637
355.04,8.9833801268
355.08,8.9910446166
355.12,8.9987091064
355.16,9.0063735962
355.2,9.014038086
355.24,9.0181266785
355.28000000000003,9.022215271
355.32,9.0263038635
355.36,9.030392456
