Time(s),Force(N)
297.15,9.959388733
297.2,9.877632141
297.25,9.788208008
297.3,9.634902954
297.35,9.550590515
297.4,9.420288086
297.45,9.295089722
297.5,9.175003052
297.55,9.164787292
297.6,9.159675598
297.65,9.118797302
297.7,9.01914978
297.75,8.97315979
297.8,8.975715637
297.85,9.011482239
297.9,9.031929016
297.95,9.003822327
298,8.975715637
298.05,8.945053101
298.1,8.934837341
298.15,8.906730652
298.2,8.88117981
298.25,8.873512268
298.3,8.835189819
298.35,8.743209839
298.4,8.722770691
298.45,8.789199829
298.5,8.835189819
298.55,8.801979065
298.6,8.755989075
298.65,8.763648987
298.7,8.819862366
298.75,8.850517273
298.8,8.814750671
298.85,8.773872375
298.9,8.796867371
298.95,8.876068115
299,8.968048096
299.05,8.991043091
299.1,9.085578918
299.15,9.254211426
299.2,9.540367126
299.25,9.645126343
299.3,9.726882935
299.35,9.852081299
299.4,10.15357208
299.45,10.32219696
299.5,10.39884949
299.55,10.40396118
299.6,10.5036087
299.65,10.61091614
299.7,10.71311188
299.75,10.73355865
299.8,10.79232025
299.85,10.90729523
299.9,11.06059265
299.95,11.2190094
300,11.2598877
300.05,11.33142853
300.1,11.42851257
300.15,11.58692932
300.2,11.61247253
300.25,11.54348755
300.3,11.49239349
300.35,11.45917511
300.4,11.44895935
300.45,11.34675598
300.5,11.24966431
300.55,11.16024017
300.6,11.15257263
300.65,11.16535187
300.7,11.09892273
300.75,10.90985107
300.8,10.82042694
300.85,10.77954865
300.9,10.74121857
300.95,10.66457367
301,10.48316193
301.05,10.36052704
301.1,10.23532867
301.15,10.17656708
301.2,10.03348541
301.25,9.923622131
301.3,9.816307068
301.35,9.79586792
301.4,9.780540466
301.45,9.686004639
301.5,9.484161377
301.55,9.397293091
301.6,9.33341217
301.65,9.292533875
301.7,9.164787292
301.75,9.072807312
301.8,9.060028076
301.85,9.095802307
301.9,9.077919006
301.95,8.909286499
302,8.80708313
302.05,8.80708313
302.1,8.863296509
302.15,8.878623962
302.2,8.832633972
302.25,8.791755676
302.3,8.822418213
302.35,8.89906311
302.4,8.891403198
302.45,8.817306519
302.5,8.796867371
302.55,8.85307312
302.6,8.89906311
302.65,8.878623962
302.7,8.817306519
302.75,8.755989075
302.8,8.773872375
302.85,8.812194824
302.9,8.801979065
302.95,8.771316528
303,8.817306519
303.05,8.916954041
303.1,9.060028076
303.15,9.090690613
303.2,9.095802307
303.25,9.169898987
303.3,9.394737244
303.35,9.545478821
303.4,9.668121338
303.45,9.734550476
303.5,9.875076294
303.55,9.987495422
303.6,10.115242
303.65,10.14846039
303.7,10.30175781
303.75,10.49082947
303.8,10.72844696
303.85,10.78465271
303.9,10.79998779
303.95,10.89707184
304,11.0273819
304.05,11.17812347
304.1,11.19345856
304.15,11.18834686
304.2,11.24710846
304.25,11.35442352
304.3,11.33653259
304.35,11.16024017
304.4,11.0580368
304.45,11.06059265
304.5,11.11680603
304.55,11.09892273
304.6,11.0043869
304.65,10.88941193
304.7,10.88174438
304.75,10.89962769
304.8,10.83831024
304.85,10.72077942
304.9,10.5623703
304.95,10.52404785
305,10.51638031
305.05,10.42695618
305.1,10.17656708
305.15,10.04115295
305.2,9.969612122
305.25,9.956832886
305.3,9.829086304
305.35,9.714111328
305.4,9.645126343
305.45,9.665565491
305.5,9.606803894
305.55,9.463722229
305.6,9.28742218
305.65,9.25932312
305.7,9.292533875
305.75,9.261878967
305.8,9.129013062
305.85,9.04725647
305.9,8.998710632
305.95,8.980827332
306,8.945053101
306.05,8.855628967
306.1,8.830078125
306.15,8.88117981
306.2,8.932281494
306.25,8.916954041
306.3,8.865852356
306.35,8.850517273
306.4,8.904174805
306.45,8.937393188
306.5,8.89906311
306.55,8.850517273
306.6,8.845413208
306.65,8.901618958
306.7,8.934837341
306.75,8.858184814
306.8,8.725326538
306.85,8.717658997
306.9,8.776428223
306.95,8.855628967
307,8.827522278
307.05,8.768760681
307.1,8.789199829
307.15,8.883735657
307.2,8.916954041
307.25,8.87096405
307.3,8.845413208
307.35,8.914398193
307.4,9.011482239
307.45,9.095802307
307.5,9.070251465
307.55,9.037033081
307.6,9.095802307
307.65,9.289978027
307.7,9.412620544
307.75,9.514823914
307.8,9.624687195
307.85,9.806091309
307.9,10.1024704
307.95,10.21233368
308,10.28898621
308.05,10.38352203
308.1,10.62624359
308.15,10.75910187
308.2,10.83319855
308.25,10.83575439
308.3,10.88174438
308.35,10.96095276
308.4,11.07592773
308.45,11.11425018
308.5,11.16790771
308.55,11.26244354
308.6,11.45406342
308.65,11.51027679
308.7,11.47705841
308.75,11.45406342
308.8,11.4821701
308.85,11.50260925
308.9,11.45917511
308.95,11.2905426
309,11.18834686
309.05,11.09892273
309.1,11.05037689
309.15,10.90985107
309.2,10.79743195
309.25,10.69011688
309.3,10.67478943
309.35,10.64157867
309.4,10.54193115
309.45,10.37585449
309.5,10.3349762
309.55,10.33753204
309.6,10.27620697
309.65,10.08969879
309.7,9.995162964
309.75,9.949172974
309.8,9.910842896
309.85,9.790763855
309.9,9.540367126
309.95,9.438171387
310,9.422843933
310.05,9.43561554
310.1,9.346191406
310.15,9.251655579
310.2,9.169898987
310.25,9.180114746
310.3,9.1954422
310.35,9.129013062
310.4,9.008934021
310.45,8.978271484
310.5,9.029373169
310.55,9.026817322
310.6,8.88117981
310.65,8.77898407
310.7,8.75087738
310.75,8.80708313
310.8,8.822418213
310.85,8.766204834
310.9,8.727882385
310.95,8.773872375
311,8.827522278
311.05,8.82497406
311.1,8.773872375
311.15,8.763648987
311.2,8.819862366
311.25,8.891403198
311.3,8.891403198
311.35,8.855628967
311.4,8.860740662
311.45,8.957832336
311.5,9.01914978
311.55,9.042144775
311.6,9.070251465
311.65,9.246543884
311.7,9.433059692
311.75,9.652793884
311.8,9.716667175
311.85,9.775428772
311.9,9.997718811
311.95,10.18933868
312,10.3707428
312.05,10.40907288
312.1,10.50105286
312.15,10.61091614
312.2,10.74121857
312.25,10.7539978
312.3,10.76421356
312.35,10.84086609
312.4,11.03504181
312.45,11.16024017
312.5,11.21134186
312.55,11.21134186
312.6,11.2956543
312.65,11.38507843
312.7,11.42085266
312.75,11.33653259
312.8,11.20111847
312.85,11.18323517
312.9,11.17046356
312.95,11.02482605
313,10.88941193
313.05,10.79743195
313.1,10.79998779
313.15,10.72333527
313.2,10.62368774
313.25,10.55214691
313.3,10.5623703
313.35,10.5036087
313.4,10.38096619
313.45,10.20211792
313.5,10.16378784
313.55,10.15868378
313.6,10.09224701
313.65,9.880187988
313.7,9.724327087
313.75,9.594024658
313.8,9.560813904
313.85,9.496932983
313.9,9.341079712
313.95,9.274650574
314,9.279762268
314.05,9.28742218
314.1,9.197998047
314.15,9.100914001
314.2,9.037033081
314.25,9.057472229
314.3,9.062583923
314.35,8.996154785
314.4,8.901618958
314.45,8.886291504
314.5,8.876068115
314.55,8.832633972
314.6,8.73299408
314.65,8.709999084
314.7,8.771316528
314.75,8.827522278
314.8,8.817306519
314.85,8.766204834
314.9,8.748321533
314.95,8.812194824
315,8.855628967
315.05,8.822418213
315.1,8.771316528
315.15,8.768760681
315.2,8.830078125
315.25,8.873512268
315.3,8.80708313
315.35,8.725326538
315.4,8.776428223
315.45,8.942497253
315.5,9.006378174
315.55,9.021705627
315.6,9.077919006
315.65,9.30531311
315.7,9.448387146
315.75,9.537818909
315.8,9.571029663
315.85,9.670677185
315.9,9.949172974
315.95,10.10502625
316,10.14846039
316.05,10.12546539
316.1,10.20467377
316.15,10.34519196
316.2,10.52404785
316.25,10.55981445
316.3,10.61602783
316.35,10.72589111
316.4,10.90218353
316.45,10.93540192
316.5,10.88941193
316.55,10.88685608
316.6,10.97883606
316.65,11.03504181
316.7,10.96605682
316.75,10.85619354
316.8,10.74377441
316.85,10.73355865
316.9,10.71311188
316.95,10.59558868
317,10.51893616
317.05,10.49849701
317.1,10.544487
317.15,10.544487
317.2,10.46527863
317.25,10.36308289
317.3,10.36052704
317.35,10.37329865
317.4,10.3119812
317.45,10.16123199
317.5,10.08969879
317.55,10.04625702
317.6,9.99005127
317.65,9.780540466
317.7,9.642570496
317.75,9.565917969
317.8,9.563362122
317.85,9.530151367
317.9,9.356407166
317.95,9.251655579
318,9.218437195
318.05,9.218437195
318.1,9.116241455
318.15,9.008934021
318.2,8.932281494
318.25,8.960388184
318.3,8.955276489
318.35,8.847969055
318.4,8.676780701
318.45,8.653785706
318.5,8.735542297
318.55,8.758537292
318.6,8.692108154
318.65,8.669113159
318.7,8.735542297
318.75,8.789199829
318.8,8.76109314
318.85,8.712547302
318.9,8.694664001
318.95,8.766204834
319,8.840301514
319.05,8.847969055
319.1,8.784088135
319.15,8.715103149
319.2,8.75087738
319.25,8.845413208
319.3,8.868408203
319.35,8.88117981
319.4,8.960388184
319.45,9.1954422
319.5,9.338523865
319.55,9.473937988
319.6,9.576141357
319.65,9.839302063
319.7,10.04625702
319.75,10.23277283
319.8,10.28387451
319.85,10.34264374
319.9,10.48316193
319.95,10.58280945
320,10.64412689
320.05,10.66457367
320.1,10.80509186
320.15,10.95328522
320.2,11.0810318
320.25,11.09125519
320.3,11.13980103
320.35,11.2190094
